Threads,Points,Time_taken
1,10,0.000573
4,10,0.000392
8,10,0.000674
16,10,0.000580
32,10,0.000826
64,10,0.001748
100,10,0.001892
1,100,0.001811
4,100,0.000633
8,100,0.000729
16,100,0.000898
32,100,0.001169
64,100,0.001137
100,100,0.002034
1,1000,0.017129
4,1000,0.005086
8,1000,0.005336
16,1000,0.004521
32,1000,0.004748
64,1000,0.005249
100,1000,0.004392
1,10000,0.165722
4,10000,0.047434
8,10000,0.041306
16,10000,0.034817
32,10000,0.039446
64,10000,0.035859
100,10000,0.035282
1,100000,1.625678
4,100000,0.470947
8,100000,0.437861
16,100000,0.380331
32,100000,0.362809
64,100000,0.352173
100,100000,0.349516
